Date,Close,Price_Change,MACD,KD_diff,RSI,MA_5_to_10,MA_10_to_20,MA_5_to_20
2020/07/17,18.3,-0.15000000000000213,0.22535085180413006,0.008465727655730615,48.00000000000004,0.15000000000000213,0.08000000000000185,0.23000000000000398
2020/07/20,18.15,0.0,0.20568941132186325,-0.04265627790407056,70.58823529411764,0.10500000000000398,0.11249999999999716,0.21750000000000114
2020/07/21,18.15,0.15000000000000213,0.1879411099602919,-0.05479777247464501,67.74193548387092,0.06499999999999773,0.12250000000000227,0.1875
2020/07/22,18.3,-0.10000000000000142,0.18385977858059732,-0.01239995686859574,69.69696969696973,0.02500000000000213,0.134999999999998,0.16000000000000014
2020/07/23,18.2,-0.1999999999999993,0.1705896781710834,-0.059786486600613364,60.0,-0.02499999999999858,0.14499999999999602,0.11999999999999744
2020/07/24,18.0,-0.1999999999999993,0.14229441798504538,-0.13360957430654086,50.0,-0.09499999999999886,0.16499999999999915,0.07000000000000028
2020/07/27,17.8,0.09999999999999787,0.1025497620787732,-0.15712449111792642,39.39393939393947,-0.11500000000000554,0.14500000000000313,0.029999999999997584
2020/07/28,17.9,0.40000000000000213,0.07821933637352885,-0.06489856812952682,44.11764705882345,-0.11999999999999744,0.07749999999999702,-0.042500000000000426
2020/07/29,18.3,0.05000000000000071,0.09017448049194599,0.09202961347348465,54.76190476190474,-0.10999999999999943,0.03249999999999886,-0.07750000000000057
2020/07/30,18.35,-0.3500000000000014,0.10250202097797612,0.12296013785880777,61.5384615384616,-0.07499999999999929,-0.007500000000000284,-0.08249999999999957
2020/07/31,18.0,-0.05000000000000071,0.08307200829919026,-0.0029884419801519124,42.10526315789473,-0.04499999999999815,-0.04250000000000398,-0.08750000000000213
2020/08/03,17.95,0.25,0.06291377035086398,-0.04843435879779523,39.47368421052627,0.004999999999999005,-0.05999999999999872,-0.054999999999999716
2020/08/04,18.2,0.05000000000000071,0.06634633297994341,0.03503333993253682,45.23809523809527,0.05999999999999872,-0.05749999999999744,0.002500000000001279
2020/08/05,18.25,0.3999999999999986,0.07226818309697336,0.06276692963198582,46.51162790697679,0.054999999999999716,-0.07000000000000028,-0.015000000000000568
2020/08/06,18.65,0.05000000000000071,0.10799307212772646,0.11963359464885137,57.14285714285709,0.07000000000000028,-0.05249999999999844,0.017500000000001847
2020/08/07,18.7,0.4499999999999993,0.1387405712586265,0.058749554548547356,61.702127659574465,0.14000000000000057,-0.022500000000000853,0.11749999999999972
2020/08/10,19.15,0.0,0.19714683899641372,0.0497687576962893,67.85714285714283,0.245000000000001,0.07000000000000028,0.3150000000000013
2020/08/11,19.15,-0.09999999999999787,0.24066004774828187,0.03508136905915249,66.03773584905656,0.3099999999999987,0.1550000000000047,0.4650000000000034
2020/08/12,19.05,0.05000000000000071,0.2640318204427885,0.007933297282139207,66.03773584905665,0.3950000000000031,0.197499999999998,0.5925000000000011
2020/08/13,19.1,0.0,0.2833227327197605,0.0065158961938217574,72.00000000000003,0.4099999999999966,0.2375000000000007,0.6474999999999973
2020/08/14,19.1,-0.3500000000000014,0.2952079462390991,0.004532571873287039,78.2608695652174,0.379999999999999,0.307500000000001,0.6875
2020/08/18,18.75,0.10000000000000142,0.27323530217318037,-0.06131208844967839,66.66666666666666,0.22000000000000242,0.3575000000000017,0.5775000000000041
2020/08/19,18.85,-0.40000000000000213,0.26088368300845133,-0.04577856475133335,62.222222222222214,0.09499999999999886,0.3874999999999993,0.48249999999999815
2020/08/20,18.45,0.15000000000000213,0.21632462317273848,-0.09711720930558065,51.923076923076884,-0.04499999999999815,0.40000000000000213,0.355000000000004
2020/08/21,18.6,-0.15000000000000213,0.19091425295190945,-0.06067256811774696,62.50000000000001,-0.14000000000000057,0.375,0.23499999999999943
2020/08/24,18.45,0.0,0.15686437026662148,-0.07270278960087612,59.99999999999997,-0.24500000000000455,0.32750000000000057,0.08249999999999602
2020/08/25,18.45,-0.05000000000000071,0.1283994836013207,-0.08580845709524881,55.555555555555536,-0.23499999999999943,0.22499999999999787,-0.010000000000001563
2020/08/26,18.4,-0.09999999999999787,0.10064608825270582,-0.09698882030109088,53.33333333333329,-0.25,0.12499999999999645,-0.12500000000000355
2020/08/27,18.3,0.0,0.06977780314193893,-0.09826397875455097,41.02564102564111,-0.20500000000000185,0.05000000000000426,-0.15499999999999758
2020/08/28,18.3,0.09999999999999787,0.04479806064043146,-0.06314720846188678,39.473684210526386,-0.18499999999999872,-0.027499999999999858,-0.21249999999999858
2020/08/31,18.4,-0.09999999999999787,0.03269372608066945,-0.01373649327635515,25.806451612903288,-0.125,-0.11750000000000327,-0.24250000000000327
2020/09/01,18.3,0.0,0.01486048702580689,-0.009854453065644683,24.242424242424335,-0.10999999999999943,-0.17999999999999972,-0.28999999999999915
2020/09/02,18.3,0.09999999999999787,0.0007192258058914547,-0.003914064082395419,25.806451612903288,-0.07499999999999929,-0.23999999999999844,-0.3149999999999977
2020/09/03,18.4,-0.1999999999999993,-0.002391098235992928,0.02486533865769941,28.12499999999993,-0.05000000000000426,-0.2525000000000013,-0.30250000000000554
2020/09/04,18.2,0.05000000000000071,-0.020755128773238596,-0.02678772426907,24.999999999999943,-0.030000000000001137,-0.2699999999999996,-0.3000000000000007
2020/09/07,18.25,0.05000000000000071,-0.03091777231355053,-0.008004058933494498,33.33333333333333,-0.0400000000000027,-0.2674999999999983,-0.307500000000001
2020/09/08,18.3,-0.10000000000000142,-0.03453901414925298,0.023692872133773357,31.034482758620655,-0.02500000000000213,-0.23999999999999844,-0.26500000000000057
2020/09/09,18.2,0.10000000000000142,-0.044959770411992395,0.014155425328683996,39.130434782608674,-0.02500000000000213,-0.21249999999999858,-0.2375000000000007
2020/09/10,18.3,0.0,-0.04463461055616591,0.05310400216703626,36.3636363636363,-0.04499999999999815,-0.17500000000000426,-0.22000000000000242
2020/09/11,18.3,-0.05000000000000071,-0.043871199152814455,0.049565145834865265,42.105263157894775,-0.024999999999995026,-0.13500000000000156,-0.1599999999999966
2020/09/14,18.25,0.0,-0.046761732108560494,0.015455811959772525,39.99999999999999,-0.00999999999999801,-0.10749999999999815,-0.11749999999999616
2020/09/15,18.25,0.10000000000000142,-0.04849349744871745,0.0030645255010562367,42.105263157894775,-0.014999999999997016,-0.08750000000000213,-0.10249999999999915
2020/09/16,18.35,-0.05000000000000071,-0.04132045322862865,0.04086723917778051,52.63157894736846,0.010000000000001563,-0.057500000000000995,-0.04749999999999943
2020/09/17,18.3,0.0,-0.03921826242110882,0.019267774469182763,50.0,0.019999999999999574,-0.05999999999999872,-0.03999999999999915
2020/09/18,18.3,-0.3000000000000007,-0.03712431506568947,0.009050964674737594,44.44444444444458,0.010000000000001563,-0.035000000000003695,-0.02500000000000213
